p1,p2,spacing,winner,seconds,p1_hp,p2_hp
rust,duke,0,duke,12.90,0,100
rust,duke,32,rust,21.10,37,0
rust,duke,64,duke,21.83,0,22
rust,c,0,rust,26.52,24,0
rust,c,32,c,18.30,0,34
rust,c,64,c,24.10,0,16
rust,python,0,python,26.63,0,6
rust,python,32,rust,16.47,27,0
rust,python,64,python,31.25,0,32
rust,cpp,0,cpp,20.88,0,5
rust,cpp,32,rust,12.33,68,0
rust,cpp,64,cpp,16.18,0,69
duke,rust,0,duke,17.93,17,0
duke,rust,32,duke,20.83,53,0
duke,rust,64,duke,20.40,22,0
duke,c,0,duke,19.07,48,0
duke,c,32,c,14.88,0,19
duke,c,64,duke,21.15,1,0
duke,python,0,python,24.02,0,21
duke,python,32,python,24.37,0,12
duke,python,64,python,16.47,0,84
duke,cpp,0,cpp,22.98,0,7
duke,cpp,32,duke,22.43,60,0
duke,cpp,64,cpp,22.23,0,43
c,rust,0,rust,23.50,0,26
c,rust,32,rust,25.28,0,3
c,rust,64,c,12.35,66,0
c,duke,0,duke,13.10,0,69
c,duke,32,duke,20.02,0,2
c,duke,64,duke,29.30,0,1
c,python,0,python,23.08,0,41
c,python,32,c,23.32,16,0
c,python,64,python,24.23,0,15
c,cpp,0,cpp,22.40,0,46
c,cpp,32,cpp,26.00,0,16
c,cpp,64,c,22.18,8,0
python,rust,0,python,26.80,13,0
python,rust,32,rust,20.92,0,44
python,rust,64,rust,20.28,0,17
python,duke,0,duke,29.22,0,16
python,duke,32,python,38.72,2,0
python,duke,64,duke,24.25,0,28
python,c,0,c,19.70,0,7
python,c,32,c,21.60,0,19
python,c,64,c,22.73,0,53
python,cpp,0,cpp,22.13,0,28
python,cpp,32,python,21.72,20,0
python,cpp,64,python,20.20,19,0
cpp,rust,0,rust,19.85,0,34
cpp,rust,32,rust,17.60,0,49
cpp,rust,64,rust,30.78,0,22
cpp,duke,0,duke,25.50,0,54
cpp,duke,32,duke,11.17,0,87
cpp,duke,64,cpp,29.60,1,0
cpp,c,0,cpp,19.25,2,0
cpp,c,32,c,23.17,0,3
cpp,c,64,c,21.67,0,24
cpp,python,0,python,25.75,0,8
cpp,python,32,cpp,19.98,35,0
cpp,python,64,cpp,26.33,27,0
