p1,p2,spacing,winner,seconds,p1_hp,p2_hp
rust,duke,0,duke,15.80,0,47
rust,duke,32,duke,17.85,0,62
rust,duke,64,duke,23.57,0,20
rust,c,0,c,13.07,0,51
rust,c,32,c,20.32,0,31
rust,c,64,c,18.23,0,19
rust,python,0,rust,18.83,7,0
rust,python,32,rust,18.70,53,0
rust,python,64,rust,20.37,19,0
rust,cpp,0,cpp,19.20,0,15
rust,cpp,32,cpp,15.87,0,34
rust,cpp,64,cpp,21.40,0,26
duke,rust,0,rust,21.05,0,20
duke,rust,32,rust,14.30,0,45
duke,rust,64,rust,19.68,0,42
duke,c,0,duke,19.33,43,0
duke,c,32,c,13.25,0,49
duke,c,64,c,19.02,0,35
duke,python,0,duke,19.20,20,0
duke,python,32,python,16.30,0,41
duke,python,64,duke,19.33,41,0
duke,cpp,0,cpp,18.25,0,20
duke,cpp,32,cpp,14.30,0,43
duke,cpp,64,cpp,23.32,0,11
c,rust,0,rust,18.87,0,46
c,rust,32,c,20.92,9,0
c,rust,64,c,13.57,54,0
c,duke,0,c,20.83,1,0
c,duke,32,duke,18.00,0,27
c,duke,64,duke,15.60,0,15
c,python,0,c,18.67,46,0
c,python,32,python,28.65,0,3
c,python,64,c,13.90,37,0
c,cpp,0,c,19.82,3,0
c,cpp,32,cpp,18.77,0,20
c,cpp,64,c,13.15,53,0
python,rust,0,rust,14.12,0,46
python,rust,32,rust,15.52,0,65
python,rust,64,rust,19.67,0,23
python,duke,0,duke,14.12,0,58
python,duke,32,duke,13.92,0,43
python,duke,64,duke,19.35,0,61
python,c,0,c,15.77,0,69
python,c,32,python,16.17,7,0
python,c,64,c,20.70,0,34
python,cpp,0,cpp,16.42,0,48
python,cpp,32,cpp,18.80,0,23
python,cpp,64,python,16.58,5,0
cpp,rust,0,rust,16.75,0,10
cpp,rust,32,cpp,16.18,35,0
cpp,rust,64,rust,12.38,0,45
cpp,duke,0,duke,12.77,0,50
cpp,duke,32,duke,17.95,0,17
cpp,duke,64,duke,21.15,0,9
cpp,c,0,cpp,16.08,15,0
cpp,c,32,cpp,13.62,39,0
cpp,c,64,c,14.93,0,50
cpp,python,0,cpp,20.90,13,0
cpp,python,32,python,21.53,0,20
cpp,python,64,cpp,17.05,56,0
