tick,segment,input,x,delta_x,stride_distance,phase,action,facing,gait,velocity_x,speed_ratio
0,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
1,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
2,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
3,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
4,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
5,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
6,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
7,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
8,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
9,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
10,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
11,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
12,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
13,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
14,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
15,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
16,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
17,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
18,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
19,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
20,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
21,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
22,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
23,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
24,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
25,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
26,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
27,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
28,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
29,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
30,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
31,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
32,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
33,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
34,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
35,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
36,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
37,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
38,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
39,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
40,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
41,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
42,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
43,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
44,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
45,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
46,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
47,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
48,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
49,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
50,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
51,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
52,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
53,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
54,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
55,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
56,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
57,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
58,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
59,IDLE,0,700,0,0,0,Idle,Right,Run,0,0
60,START / RUN RIGHT,1,700.9167,0.916687,0.916687,0.0033701728,Walk,Right,Run,55.000004,0.12087913
61,START / RUN RIGHT,1,702.75,1.833313,2.75,0.010110294,Walk,Right,Run,110.00001,0.24175826
62,START / RUN RIGHT,1,705.5,2.75,5.5,0.020220589,Walk,Right,Run,165.00002,0.3626374
63,START / RUN RIGHT,1,709.1667,3.666687,9.166687,0.033701055,Walk,Right,Run,220.00002,0.4835165
64,START / RUN RIGHT,1,713.75,4.583313,13.75,0.05055147,Walk,Right,Run,275.00003,0.6043957
65,START / RUN RIGHT,1,719.25,5.5,19.25,0.07077206,Walk,Right,Run,330.00003,0.7252748
66,START / RUN RIGHT,1,725.6667,6.416687,25.666687,0.09436282,Walk,Right,Run,385.00003,0.8461539
67,START / RUN RIGHT,1,733,7.333313,33,0.121323526,Walk,Right,Run,440.00003,0.967033
68,START / RUN RIGHT,1,740.5833,7.583313,40.583313,0.14920336,Walk,Right,Run,455,1
69,START / RUN RIGHT,1,748.1666,7.583313,48.166626,0.17708318,Walk,Right,Run,455,1
70,START / RUN RIGHT,1,755.74994,7.583313,55.74994,0.20496301,Walk,Right,Run,455,1
71,START / RUN RIGHT,1,763.33325,7.583313,63.333252,0.23284283,Walk,Right,Run,455,1
72,START / RUN RIGHT,1,770.91656,7.583313,70.916565,0.26072267,Walk,Right,Run,455,1
73,START / RUN RIGHT,1,778.4999,7.583313,78.49988,0.2886025,Walk,Right,Run,455,1
74,START / RUN RIGHT,1,786.0832,7.583313,86.08319,0.3164823,Walk,Right,Run,455,1
75,START / RUN RIGHT,1,793.6665,7.583313,93.666504,0.34436214,Walk,Right,Run,455,1
76,START / RUN RIGHT,1,801.2498,7.583313,101.24982,0.37224197,Walk,Right,Run,455,1
77,START / RUN RIGHT,1,808.8331,7.583313,108.83313,0.4001218,Walk,Right,Run,455,1
78,START / RUN RIGHT,1,816.41644,7.583313,116.41644,0.42800164,Walk,Right,Run,455,1
79,START / RUN RIGHT,1,823.99976,7.583313,123.999756,0.45588145,Walk,Right,Run,455,1
80,START / RUN RIGHT,1,831.58307,7.583313,131.58307,0.48376128,Walk,Right,Run,455,1
81,START / RUN RIGHT,1,839.1664,7.583313,139.16638,0.5116411,Walk,Right,Run,455,1
82,START / RUN RIGHT,1,846.7497,7.583313,146.7497,0.5395209,Walk,Right,Run,455,1
83,START / RUN RIGHT,1,854.333,7.583313,154.33301,0.56740075,Walk,Right,Run,455,1
84,START / RUN RIGHT,1,861.9163,7.583313,161.91632,0.5952806,Walk,Right,Run,455,1
85,START / RUN RIGHT,1,869.49963,7.583313,169.49963,0.6231604,Walk,Right,Run,455,1
86,START / RUN RIGHT,1,877.08295,7.583313,177.08295,0.65104026,Walk,Right,Run,455,1
