p1,p2,spacing,winner,seconds,p1_hp,p2_hp
rust,duke,0,duke,11.45,0,82
rust,duke,32,duke,13.80,0,54
rust,duke,64,duke,17.63,0,58
rust,c,0,c,13.02,0,74
rust,c,32,c,22.32,0,51
rust,c,64,c,28.80,0,33
rust,python,0,python,19.78,0,28
rust,python,32,rust,16.93,35,0
rust,python,64,rust,30.92,7,0
rust,cpp,0,cpp,13.05,0,37
rust,cpp,32,rust,22.83,2,0
rust,cpp,64,cpp,17.05,0,31
duke,rust,0,duke,18.50,54,0
duke,rust,32,duke,13.62,48,0
duke,rust,64,rust,17.05,0,41
duke,c,0,duke,17.32,30,0
duke,c,32,duke,16.90,67,0
duke,c,64,duke,17.92,43,0
duke,python,0,duke,17.27,60,0
duke,python,32,duke,28.78,47,0
duke,python,64,duke,17.98,22,0
duke,cpp,0,cpp,21.55,0,6
duke,cpp,32,draw,17.35,0,0
duke,cpp,64,draw,18.98,0,0
c,rust,0,c,20.57,24,0
c,rust,32,rust,19.02,0,24
c,rust,64,rust,16.73,0,50
c,duke,0,c,24.88,39,0
c,duke,32,duke,20.08,0,44
c,duke,64,duke,14.68,0,89
c,python,0,python,21.10,0,33
c,python,32,python,26.38,0,16
c,python,64,python,27.82,0,1
c,cpp,0,cpp,22.32,0,57
c,cpp,32,cpp,20.18,0,31
c,cpp,64,cpp,26.70,0,21
python,rust,0,rust,16.53,0,43
python,rust,32,rust,14.30,0,70
python,rust,64,rust,20.92,0,32
python,duke,0,duke,19.40,0,50
python,duke,32,duke,17.13,0,60
python,duke,64,python,19.20,81,0
python,c,0,c,21.78,0,44
python,c,32,c,16.50,0,84
python,c,64,python,25.15,71,0
python,cpp,0,python,21.83,42,0
python,cpp,32,cpp,19.27,0,42
python,cpp,64,cpp,21.60,0,30
cpp,rust,0,cpp,13.45,69,0
cpp,rust,32,rust,16.77,0,52
cpp,rust,64,rust,18.05,0,17
cpp,duke,0,duke,24.72,0,3
cpp,duke,32,duke,8.85,0,112
cpp,duke,64,duke,19.48,0,15
cpp,c,0,cpp,13.43,69,0
cpp,c,32,c,19.95,0,28
cpp,c,64,c,15.45,0,74
cpp,python,0,cpp,16.73,40,0
cpp,python,32,python,22.80,0,4
cpp,python,64,cpp,23.15,42,0
